selection_rank,candidate_id,formulation_id,formulation_description,selection_role,recommendation_type,viability_prediction_status,public_viability_mean,public_viability_std,empirical_combination_pass_probability,support_status,candidate_origin,mechanical_test_recommended,mechanical_selection_rank,mechanical_transition_role,selection_explanation,mechanical_selection_mode,mechanical_backup_status,batch_id,replicate_id,viability_percent,intact_patch_formation_pass,no_slurry,no_collapse,intact_tip_count,total_tip_count,instron_file,needles_compressed,critical_axial_load_N_per_needle,critical_axial_load_N_total,initial_stiffness_N_per_mm_per_needle,preparation_feasibility_pass,homogeneous_solution_pass,fillability_pass,preparation_failure_reason,notes,dmso_M,ectoin_M,ethylene_glycol_M,glycerol_M,propylene_glycol_M,trehalose_M,sucrose_M,raffinose_M,taurine_M,myo_inositol_M,methoxyphenyl_beta_d_glucopyranoside_M,betaine_M,proline_M,glucose_M,creatine_M,acetamide_M,sericin_pct,methylcellulose_pct,dextran_pct,pvp_pct,hyaluronic_acid_pct,fbs_pct,hsa_pct,human_serum_pct,active_ingredient_count,rescue_scale_factor,rescue_anchor_formulation_id,rescue_anchor_viability_percent,active_polymer_count,total_polymer_pct,total_serum_protein_pct,total_polymer_serum_pct,total_sugar_M,total_nonpermeating_solute_M,total_viscosity_active_macromolecule_pct,total_permeating_cpa_M,crystalline_solute_saturation_burden,feasibility_policy_version,estimated_small_solute_g_L,feasibility_pass,feasibility_reasons,nearest_support_distance,source,source_row_id,formulation_label,source_type,predicted_viability_percent,viability_std,predicted_critical_axial_load_N_per_needle,critical_axial_load_std,intact_patch_pass_probability,empirical_combination_weighted_passes,empirical_combination_weighted_failures,nearest_matching_intact_pass_distance,nearest_matching_intact_failure_distance,intact_combination_screening_penalty,intact_combination_policy_version,cold_start_ingredients,cold_start_ingredient_count,cold_start_prior_evidence_counts,cold_start_ordinary_exempt,cold_start_graduation_eligible,cold_start_graduation_priority,cold_start_graduation_reason,mechanical_feasibility_weight,same_formulation_range,local_neighbor_residual,retest_priority_score,viability_ucb,critical_axial_load_ucb,predicted_initial_stiffness_N_per_mm_per_needle,initial_stiffness_std,preparation_feasibility_probability,active_ingredient_excess_above_8,single_molar_excess_features,single_molar_excess_total_M,intact_failure_probability,acquisition_penalty,screening_acquisition_penalty,screening_phase_score,mechanics_phase_score,effective_intact_evidence,prior_only,mechanical_assignment,selection_reason
1,retest_v2_88865d95334d,v2_88865d95334d,methylcellulose + FBS,round_candidate,retest_priority,unknown_unrecorded,,,0.3333333333333333,in_support,retest,False,,,retest_priority: reason=single_batch_neighbor_anomaly_confirmation; feedback_batches=1; batch_range=0.0; latest_batch_n=4; latest_batch_sd=0.8; neighbor_residual=52.1; viability_std_tiebreak=1.0,,,ROUND_006,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7450063998291049,0.0,0.0,0.0,10.0,0.0,0.0,2,,,,1,0.7450063998291049,10.0,10.745006399829103,0.0,0.0,10.745006399829103,0.0,0.0,round5_solubility_viscosity_v2,0.0,True,,0.0,,,,,1.4444992067671194,0.9988972145863833,0.0,0.0,0.144023622132537,0.0,1.0,,0.0,0.0666666666666666,round6_empirical_combination_intact_v1,methylcellulose_pct,1,methylcellulose_pct=2,True,False,,ineligible:special_origin_exemption,0.3333333333333333,0.0,52.14,2.607,1.7941132318723536,0.0,0.0,0.0,0.75,0,,0.0,0.855976377867463,0.6847811022939704,0.0,-0.0564654979915446,,1.0,False,Screen only,Repeat a tested formulation
2,retest_v2_d9aaefea702e,v2_d9aaefea702e,ethylene glycol + PVP,round_candidate,retest_priority,unknown_unrecorded,,,0.5328956404600205,in_support,retest,False,,,retest_priority: reason=single_batch_neighbor_anomaly_confirmation; feedback_batches=1; batch_range=0.0; latest_batch_n=4; latest_batch_sd=2.0; neighbor_residual=35.1; viability_std_tiebreak=1.0,,,ROUND_006,,,,,,,,,,,,,,,,,,0.0,0.0,0.2641206335188518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6775579279368773,0.0,0.0,0.0,0.0,2,,,,1,1.6775579279368773,0.0,1.6775579279368773,0.0,0.0,1.6775579279368773,0.2641206335188518,0.0,round5_solubility_viscosity_v2,16.393967722515132,True,,0.0,,,,,9.468709286190595,0.996690962070636,0.0,0.0,0.8317817793138509,1.0,0.7530800557375674,0.0,0.190772403413196,0.0,round6_empirical_combination_intact_v1,,0,,True,False,,ineligible:special_origin_exemption,0.5328956404600205,0.0,35.06333333333333,1.7531666666666663,9.81755112291532,0.0,0.0,0.0,0.75,0,,0.0,0.1682182206861491,0.1345745765489193,0.0,0.1067406363870984,,1.7530800557375674,False,Screen only,Repeat a tested formulation
3,rescue_000009,v2_ea8a9ce5fcb2,ectoin + ethylene glycol + HSA,round_candidate,rescue_candidate,unknown_unrecorded,,,0.5,in_support,rescue_dilution,False,,,rescue_dilution: scaled down a high-viability failed-patch formulation,,,ROUND_006,,,,,,,,,,,,,,,,,,0.0,0.22763618705798,1.460856620438163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.987621104781921,0.0,3,0.75,v2_237544a25f30,69.21,0,0.0,6.987621104781921,6.987621104781921,0.0,0.22763618705798,6.987621104781921,1.460856620438163,0.056909046764495,round5_solubility_viscosity_v2,123.03613078275922,True,,0.3394436219183781,,,,,65.12864501919591,11.04426839504023,0.0,0.0,0.5603522727247767,0.4400632386020652,0.4400632386020651,0.1959778664892771,0.1959778664892772,0.0,round6_empirical_combination_intact_v1,,0,,True,False,,ineligible:special_origin_exemption,0.5,,,,68.99413895746,0.0,0.0,0.0,0.75,0,ethylene_glycol_M,0.960856620438163,0.4396477272752233,0.5438895059078113,0.1921713240876326,0.626592807481697,,0.8801264772041303,False,Screen only,Dilute a tested formulation
4,rescue_000026,v2_13f1ff7a70b9,ectoin + ethylene glycol + FBS,round_candidate,rescue_candidate,unknown_unrecorded,,,0.6894903949445343,in_support,rescue_dilution,False,,,rescue_dilution: scaled down a high-viability failed-patch formulation,,,ROUND_006,,,,,,,,,,,,,,,,,,0.0,0.1641824788322614,1.0269543830057204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.059735559345831,0.0,0.0,3,0.5,v2_fc5b4c04eee9,56.2875,0,0.0,4.059735559345831,4.059735559345831,0.0,0.1641824788322614,4.059735559345831,1.0269543830057204,0.0410456197080653,round5_solubility_viscosity_v2,87.08323974395934,True,,0.1403572352476628,,,,,66.33954348174896,3.091048919113526,0.0,0.0,0.7110224842934793,1.220512292434149,0.0,0.0810352875529497,0.3835708201901962,0.0,round6_empirical_combination_intact_v1,,0,,True,False,,ineligible:special_origin_exemption,0.6894903949445343,,,,67.4214106034387,0.0,0.0,0.0,0.75,0,ethylene_glycol_M,0.5269543830057204,0.2889775157065207,0.3365728891663607,0.105390876601144,0.6944499006387096,,1.220512292434149,False,Screen only,Dilute a tested formulation
5,cand_000388,v2_b7e07e99afa8,DMSO + ectoin + ethylene glycol +1,round_candidate,screening_candidate,unknown_unrecorded,,,0.731452941058677,in_support,local_perturbation,False,,,,,,ROUND_006,,,,,,,,,,,,,,,,,,0.1,0.1395375828167471,0.207080676956793,0.0,0.0,0.0,0.0,0.0,0.0004260838621623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,,,,0,0.0,0.0,0.0,0.0,0.1399636666789094,0.0,0.3070806769567931,0.0354462966420369,round5_solubility_viscosity_v2,40.556484787286536,True,,0.0675415643911875,,,,,56.078633246607154,24.71787912821978,0.0,0.0,0.9882134758639176,1.7237421401755055,0.0,0.038993488036102,,0.0,round6_empirical_combination_intact_v1,,0,,False,False,,ineligible:must_contain_exactly_one_cold_start_ingredient,0.731452941058677,,,,64.72989094148407,0.0,0.0,0.0,0.75,0,,0.0,0.0117865241360823,0.0094292193088659,0.0,0.7674559218910648,,1.7237421401755055,False,Screen only,Explore near a tested formulation
6,cand_000599,v2_4673547a29eb,ectoin + raffinose,round_candidate,screening_candidate,unknown_unrecorded,,,0.5983057257826516,in_support,local_perturbation,False,,,,,,ROUND_006,,,,,,,,,,,,,,,,,,0.0,0.0685407781099063,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,,,,0,0.0,0.0,0.0,0.3,0.3685407781099063,0.0,0.0,0.7626249813173975,round5_solubility_viscosity_v2,188.09675701610428,True,,0.2424692827053474,,,,,53.71104413417668,24.59404247216249,0.0,0.0,0.9785081413996578,0.489455449541511,0.0,0.1786905926604711,,0.0,round6_empirical_combination_intact_v1,,0,,False,False,,ineligible:must_contain_exactly_one_cold_start_ingredient,0.5983057257826516,,,,62.31895899943355,0.0,0.0,0.0,0.75,0,,0.0,0.0214918586003421,0.0171934868802737,0.0,0.7384471491509914,,0.489455449541511,False,Screen only,Explore near a tested formulation
7,cand_000452,v2_fb629591d74c,ectoin + ethylene glycol,round_candidate,screening_candidate,unknown_unrecorded,,,0.6052562317267054,in_support,local_perturbation,False,,,,,,ROUND_006,,,,,,,,,,,,,,,,,,0.0,0.1304323581246499,0.8836577124776623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,,,,0,0.0,0.0,0.0,0.0,0.1304323581246499,0.0,0.8836577124776623,0.0326080895311624,round5_solubility_viscosity_v2,73.39089824448874,True,,0.0906297534211885,,,,,66.59621942113174,5.566915856512772,0.0,0.0,0.8998345731825302,0.5332888835059855,0.0,0.163348890772905,,0.0,round6_empirical_combination_intact_v1,,0,,False,False,,ineligible:must_contain_exactly_one_cold_start_ingredient,0.6052562317267054,,,,68.5446399709112,0.0,0.0,0.0,0.75,0,ethylene_glycol_M,0.3836577124776623,0.1001654268174697,0.1568638839495083,0.0767315424955324,0.7366241353052527,,0.5332888835059855,False,Screen only,Explore near a tested formulation
8,cand_001218,v2_b0c3376ad599,propylene glycol + raffinose,round_candidate,cold_start_graduation,unknown_unrecorded,,,0.5,in_support,sparse_exploration,False,,,cold_start_graduation: ingredient=propylene_glycol_M; prior_distinct_formulations=2; graduation_threshold=3,,,ROUND_006,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.4665420783684165,0.0,0.0,0.2887095003508567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,,,,0,0.0,0.0,0.0,0.2887095003508567,0.2887095003508567,0.0,0.4665420783684165,0.7174332795359493,round5_solubility_viscosity_v2,207.13987179664065,True,,0.2904619475779149,,,,,54.51751704270245,24.68740406206245,0.0,0.0,0.000271198297703,0.0,0.0,,,0.0,round6_empirical_combination_intact_v1,propylene_glycol_M,1,propylene_glycol_M=2,False,True,1.0,eligible:propylene_glycol_M;prior_distinct_formulations=2;graduation_threshold=3,0.5,,,,63.15810846442431,0.0,0.0,0.0,0.75,0,,0.0,0.9997288017022968,0.7997830413618376,0.0,0.7485439485256629,,0.0,True,Screen only,Explore ingredient combinations
9,cand_000842,v2_0edd7362eda9,taurine + FBS,round_candidate,cold_start_graduation,unknown_unrecorded,,,0.5,in_support,sparse_exploration,False,,,cold_start_graduation: ingredient=taurine_M; prior_distinct_formulations=0; graduation_threshold=3,,,ROUND_006,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0284550053666188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.638596543336048,0.0,0.0,2,,,,0,0.0,2.638596543336048,2.638596543336048,0.0,0.0284550053666188,2.638596543336048,0.0,0.0375252282986969,round5_solubility_viscosity_v2,3.561143921632353,True,,0.2699271503697,,,,,56.298833180708186,24.71832313295539,0.0,0.0,0.999999999993527,0.0,0.0,,,0.0,round6_empirical_combination_intact_v1,taurine_M,1,taurine_M=0,False,True,4.0,eligible:taurine_M;prior_distinct_formulations=0;graduation_threshold=3,0.5,,,,64.95024627724257,0.0,0.0,0.0,0.75,0,,0.0,6.473044322774513e-12,5.178435458219611e-12,0.0,0.7701072774708677,,0.0,True,Screen only,Explore ingredient combinations
10,cand_000858,v2_9d3ceb7016d5,taurine + proline,round_candidate,screening_candidate,unknown_unrecorded,,,0.5,in_support,sparse_exploration,False,,,,,,ROUND_006,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0691519551088567,0.0,0.0,0.0,0.088665134203437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,,,,0,0.0,0.0,0.0,0.0,0.1578170893122937,0.0,0.0,0.0974963177676778,round5_solubility_viscosity_v2,18.862384082715117,True,,0.2035527822025735,,,,,56.298833180708186,24.71832313295539,0.0,0.0,1.0,0.0,0.0,,,0.0,round6_empirical_combination_intact_v1,taurine_M,1,taurine_M=0,False,True,4.0,eligible:taurine_M;prior_distinct_formulations=0;graduation_threshold=3,0.5,,,,64.95024627724257,0.0,0.0,0.0,0.75,0,,0.0,0.0,0.0,0.0,0.7701072774708677,,0.0,True,Screen only,Explore ingredient combinations
